Movie_name,Actors,Crtitic_ratings,Release date & duration,User_ratings,Language,Movie_type
Ammaa Ki Boli,"Sanjay Mishra, Hrishitaa Bhatt, Zakir Hussain, Govind Namdev, Himani Shivpuri",2.8,30 Aug 2019 | 2 hrs 0 mins,,Hindi,Drama | UA
Ghode Ko Jalebi Khilane Le Ja Riya Hoon,"Raghuvir Yadav, Mr. Gopalan, Lokesh",3.2,23 Aug 2019 | 2 hrs 10 mins,,Hindi,Drama | A
Mission Mangal,"Akshay Kumar, Sharman Joshi, Vidya Balan, Sonakshi Sinha, Taapsee Pannu, Kirti Kulhari, Nithya Menen, Dalip Tahil, Rajat Barmecha",3,15 Aug 2019 | 2 hrs 13 mins,3.6,Hindi,"Drama, History | U"
Batla House,"John Abraham, Mrunal Thakur, Manish Chaudhary, Rajesh Sharma, Abdul Quadir Amin, Ravi Kishan, Nora Fatehi",3.5,15 Aug 2019 | 2 hrs 26 mins,3.6,Hindi,"Drama, Thriller, History | UA"
Dangerous Killer,"Prathamesh Ghosalkar, Tejal Choudhari, Yash Kadam",3,09 Aug 2019 | 2 hrs 2 mins,,Hindi,Drama | UA
Pranaam,"Rajeev Khandelwal, Sameksha Singh, Atul Kulkarni, Vikram Gokhale, Abhimanyu Singh, Aniruddh Dave, Apoorva Arora",2,09 Aug 2019 | 2 hrs 0 mins,2.4,Hindi,"Action, Crime | UA"
Jabariya Jodi,"Sidharth Malhotra, Parineeti Chopra, Sanjay Mishra, Aparshakti Khurana, Ruslaan Mumtaz, Chandan Roy Sanyal, Sheeba Chaddha, Jaaved Jaaferi",2.5,09 Aug 2019 | 2 hrs 24 mins,2.7,Hindi,"Action, Comedy, Romance | UA"
Chicken Curry Law,"Natalia Janoszek, Ashutosh Rana, Nivedita Bhattacharya, Mukesh Hariawala, Zakir Hussain, Aman Verma",1.5,09 Aug 2019 | 2 hrs 7 mins,2.1,Hindi,Drama | A
Mushkil,"Kunaal Roy Kapur, Rajneesh Duggal, Nazia Hussain, Pooja Bisht, Archana Shastry",1,09 Aug 2019 | 1 hr 59 mins,1.7,Hindi,"Horror, Thriller | A"
Berozgaar Leader,Albert,3.2,09 Aug 2019 | 2 hrs 45 mins,,Hindi,Drama | UA
Khandaani Shafakhana,"Sonakshi Sinha, Varun Sharma, Annu Kapoor, Badshah, Kulbhushan Kharbanda",3,02 Aug 2019 | 2 hrs 33 mins,3.1,Hindi,"Drama, Comedy | UA"
Chase: No Mercy To Crime,"Gulshan Pandey, Gargi Patel, Mushtaq Khan, Dipanjan Basak",1.5,02 Aug 2019 | 2 hrs 10 mins,2.2,Hindi,Action | UA
Moksh To Maya,"Bidita Bag, Meghna Malik, Ehsaan Khan, Muni Jha, Maitrik Thakkar",3.4,26 Jul 2019 | 1 hr 53 mins,,Hindi,"Drama,Thriller | A"
Judgementall Hai Kya,"Rajkummar Rao, Kangana Ranaut, Jimmy Sheirgill, Amyra Dastur",3.5,26 Jul 2019 | 2 hrs 10 mins,3.3,Hindi,"Comedy, Thriller | UA"
Arjun Patiala,"Kriti Sanon, Diljit Dosanjh, Varun Sharma, Ronit Roy, Sunny Leone",2,26 Jul 2019 | 1 hr 47 mins,2.4,Hindi,"Action, Comedy | UA"
Forty Plus,"Hansi Parmar, Monika Singh",2.9,21 Jul 2019 | 1 hr 16 mins,,Hindi,Drama | U
Mohai Jungle,Sonali,2.9,19 Jul 2019 | 1 hr 59 mins,,Hindi,Drama | U
Meri Bhagya Laxmi,"Babu Rajoriya, Tanishka Namdev",3.7,19 Jul 2019 | 2 hrs 22 mins,,Hindi,Drama | UA
Hyderabad Nawabs 2,"Aziz Naser, Ali Reza, Gullu Dada, Akbar Bin Tabar, Farha Fatima Khan, R.K Mama",3,19 Jul 2019 | 2 hrs 5 mins,3.1,Hindi,Drama | UA
Wig Boss,"Sunil Pal, Rakhi Sawant, Ehsaan Qureshi, Ganesh Acharya, Upasna Singh",3,19 Jul 2019 | 2 hrs 13 mins,,Hindi,Drama | UA
Jhootha Kahin Ka,"Rishi Kapoor, Sunny Singh, Nimisha Mehta, Jimmy Sheirgill, Omkar Kapoor, Lillete Dubey, Manoj Joshi",2.5,19 Jul 2019 | 2 hrs 13 mins,2.7,Hindi,Drama | UA
Family Of Thakurganj,"Saurabh Shukla, Jimmy Sheirgill, Mahie Gill, Supriya Pilgaonkar, Mukesh Tiwari, Sudhir Pandey, Pavan Malhotra, Yashpal Sharma, Nandish Singh",2,19 Jul 2019 | 2 hrs 7 mins,2.5,Hindi,"Drama, Action | UA"
Shaadi Ke Patasey,"Asrani, Rahul Dev, Tariq Imtyaz, Hussein Khan, Arjun Manhas, Sanam Ziya",3.1,19 Jul 2019 | 1 hr 31 mins,,Hindi,Drama | U
Penalty,"Lukram Smil, Bijou Thaangjam, Shashank Arora, Kay Kay Menon, Manjot Singh, Aakash Dabhade",1.5,19 Jul 2019 | 2 hrs 8 mins,2.2,Hindi,Drama | U
Kanchani Aaj Bhi Hai,"Akash Faujdar, Jessica Bindra, Kiran Kumar, Deepak Shirke",2.9,19 Jul 2019 | 2 hrs 20 mins,,Hindi,"Horror,Romantic | UA"
